seed	galaxynumber	starid	单极磁	初始星系可燃冰	初始星系潮汐锁定	距离	铁	铜	硅	钛	石	煤	原油涌泉	可燃冰	金伯利	分形硅	有机晶体	光栅石	刺笋	氢气	重氢	可燃冰
44668903	64	57	7	0	0	4.733662	39	45	25	24	22	17	22	3	1	1	1	3	1	0.82	0.04	0
47408584	64	58	2	1	0	3.316836	44	42	19	28	21	12	18	4	1	1	1	1	2	0.81	0.04	0
49270920	64	42	4	1	0	3.940416	43	37	20	29	18	15	22	1	2	1	1	2	2	0.89	0.04	0
50987215	64	53	2	0	0	4.980061	38	33	6	22	20	12	12	3	4	1	1	2	1	1.61	0.18	0
52031914	64	41	9	0	0	4.744068	39	37	22	27	19	14	18	1	1	5	2	1	1	0.92	0.04	0
52836594	64	60	11	0	0	4.763439	35	42	13	24	15	12	22	1	1	2	1	4	1	1.56	0.2	0
53098286	64	44	3	1	0	4.904433	51	35	6	24	20	14	12	3	2	1	2	12	2	0.83	0.04	0
61659036	64	60	8	0	0	3.897396	43	39	15	30	16	12	18	12	3	1	2	2	1	0.93	0.04	0
63470234	64	50	8	0	0	4.648512	36	50	14	25	24	13	12	6	3	3	1	1	1	0.77	0.15	0
67372467	64	60	6	1	0	3.022533	48	32	19	24	24	15	22	2	1	1	2	12	3	0.87	0.04	0
68359414	64	58	8	0	0	4.417305	43	39	15	30	16	12	18	4	4	2	3	9	1	0.9	0.04	0
68565532	64	51	9	1	0	4.681723	39	38	16	34	16	12	18	2	2	4	1	2	2	0.73	0.14	0
72194784	64	39	15	1	1	4.509947	41	41	16	29	18	13	22	6	1	2	3	4	1	0.97	0.03	0
72452259	64	59	5	0	1	4.571077	36	50	14	25	24	13	12	2	1	1	1	3	1	0.84	0.04	0
75308085	64	49	4	0	0	4.686257	43	36	26	22	21	17	22	1	8	2	1	1	1	0.91	0.04	0
79625676	64	60	8	1	0	4.651189	37	42	7	32	30	13	12	1	2	1	1	1	1	0.74	0.14	0
80702628	64	38	4	0	0	3.866575	37	49	21	24	22	15	22	6	3	4	1	1	1	0.91	0.04	0
80741755	64	39	2	1	0	4.522971	43	37	20	29	18	15	22	8	2	5	1	3	1	0.91	0.03	0
82288328	64	50	4	1	0	3.807389	39	36	28	27	17	15	22	2	8	4	1	2	1	0.82	0.04	0
83126290	64	60	2	1	0	4.517276	44	39	18	28	24	15	22	1	2	6	2	1	1	0.76	0.15	0
84954177	64	59	8	1	0	2.054129	43	39	15	30	16	12	18	3	1	2	1	4	1	0.81	0.04	0
85493910	64	60	5	0	0	4.034493	39	33	14	22	14	12	22	2	2	1	1	2	1	0.81	0.04	0
85547807	64	50	3	1	0	4.977393	26	30	29	20	19	12	14	1	3	1	1	1	1	0.83	0.15	0
86727163	64	54	3	1	0	4.656744	30	32	22	22	15	11	18	12	8	1	2	3	1	0.84	0.04	0
87737829	64	60	5	1	0	3.491254	37	39	23	26	21	15	22	11	4	2	2	1	1	0.8	0.03	0
91207318	64	60	7	0	0	4.713886	51	31	15	29	13	15	20	3	1	3	2	13	2	0.96	0.04	0
91215752	64	56	2	1	0	4.823472	37	40	17	33	18	13	22	2	1	2	1	1	1	0.91	0.04	0
93708497	64	60	5	1	0	2.767706	37	40	16	30	26	11	18	2	2	3	2	2	2	0.81	0.04	0
96456328	64	60	4	0	0	4.930239	52	35	14	24	14	14	22	2	3	3	3	15	1	0.75	0.15	0
100717130	64	43	3	1	0	4.137277	35	42	13	24	15	12	22	2	2	1	1	1	1	1.13	0.16	0.67
101905477	64	50	2	1	0	4.898402	27	34	20	28	27	13	22	2	3	1	1	1	1	0.88	0.04	0
106418042	64	53	6	1	0	3.433652	22	35	13	22	15	11	22	2	3	2	2	2	1	0.8	0.04	0
109582210	64	60	11	1	0	4.223787	31	34	13	27	22	11	18	7	2	4	1	2	1	0.83	0.04	0
113564677	64	60	4	1	0	4.414347	42	44	20	27	23	13	22	3	10	2	1	2	1	0.82	0.03	0
114774980	64	54	3	1	0	3.991541	37	40	17	33	18	13	22	5	2	4	1	2	1	0.74	0.15	0
120921347	64	45	4	0	0	3.705369	39	38	16	35	17	11	14	4	1	11	2	1	2	0.84	0.04	0
130722134	64	36	3	0	0	4.968984	39	37	22	27	19	14	18	2	3	4	1	3	1	0.88	0.04	0
140765056	64	60	4	1	0	3.318974	31	31	24	19	27	16	22	6	11	1	3	1	1	0.91	0.04	0
144110863	64	60	4	1	0	4.142539	39	41	21	26	24	13	22	7	4	1	5	1	1	0.91	0.03	0
147214229	64	54	7	1	0	4.51489	41	37	32	20	23	15	22	2	6	2	1	1	1	0.95	0.04	0
148873786	64	55	11	1	0	4.328172	41	29	18	22	14	14	22	5	3	1	2	3	1	0.9	0.04	0
152166865	64	60	3	1	0	3.63708	37	30	14	28	13	10	14	4	4	1	3	2	1	0.98	0.16	0.68
155503544	64	60	7	1	0	4.201309	39	37	22	28	20	13	14	2	1	7	1	2	1	0.72	0.16	0
156356484	64	60	16	1	0	3.139897	42	41	15	36	16	11	14	9	4	8	2	2	2	0.9	0.04	0
166083473	64	60	14	1	0	4.917266	37	45	8	30	33	12	12	4	4	2	1	1	2	0.87	0.04	0
170901463	64	60	5	1	0	2.361856	42	39	20	34	17	15	22	3	1	1	3	2	1	0.8	0.15	0
174609990	64	60	3	0	0	3.622459	33	24	22	25	18	12	14	13	8	3	1	3	1	0.82	0.14	0
174618790	64	48	4	0	0	4.086956	41	41	16	29	18	13	22	3	10	1	1	1	2	0.72	0.15	0
177026162	64	60	2	0	0	2.187712	40	43	16	34	17	13	22	7	1	1	1	1	1	0.91	0.04	0
177086348	64	49	3	0	0	4.544375	44	44	15	30	17	13	22	5	2	6	1	1	1	0.91	0.04	0
181313908	64	55	6	0	0	3.93015	37	42	7	32	30	13	12	5	1	1	2	3	4	0.83	0.04	0
181400366	64	58	5	1	0	4.884003	26	24	13	24	19	12	20	4	1	1	1	1	1	0.9	0.04	0
182201257	64	59	6	1	0	4.463716	35	42	24	23	27	12	22	5	3	1	1	3	2	0.92	0.04	0
195576116	64	52	10	1	0	4.778037	36	40	9	33	24	13	12	1	2	1	1	1	1	0.89	0.04	0
197011020	64	58	4	0	0	4.818102	41	41	23	23	17	13	22	4	2	5	1	4	1	0.75	0.14	0
197973959	64	53	2	1	0	4.809074	43	37	20	29	18	15	22	2	2	3	1	2	1	0.95	0.04	0
200165779	64	53	3	1	0	4.941818	44	40	24	27	23	15	22	4	1	2	1	4	1	0.84	0.15	0
205003074	64	45	2	0	0	2.248301	39	33	14	22	14	12	22	1	8	1	1	1	1	1.7	0.07	0
208881990	64	55	13	0	0	3.977742	43	39	15	30	16	12	18	4	3	2	1	5	1	0.91	0.04	0
209611405	64	39	3	1	0	2.804023	37	40	24	27	17	13	22	8	8	2	1	1	1	0.84	0.03	0
210853490	64	53	4	0	0	2.661522	24	37	14	21	36	13	12	3	2	1	2	3	1	0.88	0.04	0
211879253	64	46	3	0	0	4.770833	41	38	26	20	25	14	18	5	2	2	1	1	1	0.94	0.04	0
211963467	64	40	7	0	0	4.483432	38	42	15	32	24	13	22	11	2	3	2	1	3	0.93	0.04	0
214089126	64	57	7	0	0	4.828371	39	46	19	31	19	15	22	1	4	1	2	4	1	0.83	0.04	0
215154734	64	50	7	0	0	4.826808	38	41	13	26	30	13	12	2	2	8	1	2	1	0.77	0.15	0
215329359	64	60	4	0	0	4.920354	35	42	13	24	15	12	22	2	2	6	2	2	1	0.86	0.04	0
215415081	64	60	4	0	0	3.483375	31	35	19	26	21	11	18	13	1	2	1	4	1	0.86	0.03	0
215931862	64	60	5	0	0	4.805835	37	38	17	24	15	14	22	2	2	5	1	1	1	1.19	0.04	0.61
216765130	64	55	5	0	0	2.915911	34	42	9	29	34	12	12	1	5	1	1	1	1	0.72	0.15	0
216811395	64	60	5	1	0	4.467568	37	35	10	32	32	12	12	7	1	1	3	1	1	0.86	0.04	0
218233644	64	57	4	1	0	4.496581	36	50	14	25	24	13	12	2	6	8	1	3	1	0.94	0.04	0
229516142	64	60	3	1	0	3.78776	39	46	19	31	19	15	22	1	8	4	1	1	2	0.94	0.04	0
230365851	64	57	3	1	0	3.117816	39	47	20	25	20	14	18	1	7	7	2	3	2	0.81	0.15	0
234060152	64	60	7	1	0	3.016017	41	36	31	19	27	17	22	3	2	2	2	1	1	0.83	0.04	0
236906843	64	59	8	0	0	4.715712	35	42	13	24	15	12	22	1	2	1	2	2	1	1.29	0.04	0.69
243697871	64	49	4	0	0	2.507952	32	34	7	22	30	11	12	3	1	1	1	1	1	0.88	0.04	0
243874404	64	60	7	0	0	4.572979	28	34	23	21	17	12	22	7	5	1	1	1	1	0.87	0.04	0
244936346	64	55	3	1	0	4.627666	40	36	23	27	20	16	20	3	3	8	2	1	3	0.95	0.04	0
246778075	64	56	5	0	0	4.992473	40	40	14	22	27	15	12	12	3	6	3	1	1	0.75	0.14	0
252881027	64	55	2	0	0	4.89482	40	50	12	31	23	12	18	4	1	2	1	3	1	0.84	0.04	0
254855034	64	60	7	0	0	3.494824	39	36	21	33	18	15	22	3	2	1	1	1	1	0.92	0.04	0
257446528	64	60	8	0	0	4.820925	40	40	14	22	27	15	12	7	6	1	2	1	1	0.74	0.16	0
262890358	64	41	6	1	0	4.041117	33	24	22	24	17	13	18	15	6	4	1	1	1	0.96	0.03	0
263700515	64	60	7	1	0	4.920699	41	37	25	26	24	15	22	1	1	3	2	1	1	0.92	0.04	0
264209523	64	57	4	1	0	4.205293	29	36	14	26	24	12	22	2	1	2	1	1	1	0.83	0.16	0
276093869	64	60	9	0	0	4.93333	39	38	23	29	16	11	14	6	12	2	2	3	1	0.72	0.15	0
276356432	64	60	7	1	0	3.84748	40	37	24	28	16	14	20	3	12	4	1	1	1	0.73	0.15	0
279943551	64	57	2	1	0	4.774967	34	23	23	24	18	15	20	12	1	1	1	1	1	0.75	0.16	0
281417086	64	54	2	0	0	3.947095	43	39	15	30	16	12	18	3	5	2	1	2	1	0.81	0.15	0
281759457	64	60	2	0	0	4.730903	43	39	22	24	15	12	18	6	6	1	2	1	1	0.86	0.04	0
283074720	64	54	3	1	0	4.662613	47	34	7	28	20	14	12	1	1	2	2	12	1	0.89	0.04	0
283170056	64	50	2	1	0	3.365436	39	38	16	35	17	11	14	4	1	5	2	2	1	0.9	0.04	0
284412626	64	55	3	0	0	4.476471	41	39	15	33	23	14	20	5	2	7	4	1	1	0.91	0.04	0
285800361	64	60	7	1	1	4.647323	44	42	19	28	21	12	18	10	1	1	3	1	1	0.72	0.16	0
286416131	64	53	5	0	0	4.53971	44	44	15	30	17	13	22	8	7	1	1	1	1	0.75	0.16	0
286531149	64	60	8	1	0	3.916188	37	50	15	31	19	13	22	1	1	5	1	5	2	0.75	0.15	0
288595386	64	60	7	1	0	3.671265	41	41	16	29	18	13	22	3	4	2	1	3	2	0.92	0.03	0
290172872	64	60	3	1	0	4.709573	42	41	15	35	15	12	18	2	3	1	2	3	1	0.72	0.14	0
290654290	64	49	3	1	0	4.87666	39	38	23	29	16	11	14	1	1	1	2	2	1	0.91	0.04	0
295568123	64	56	2	1	0	4.144524	43	44	7	30	23	13	12	10	8	2	1	4	2	0.74	0.14	0
298933864	64	60	5	1	0	3.199616	44	39	18	28	24	15	22	7	1	3	1	3	1	0.8	0.14	0
300269438	64	60	6	1	0	4.179213	39	46	19	31	19	15	22	1	1	1	1	4	2	0.95	0.03	0
300717608	64	57	2	0	0	4.490192	37	40	17	33	18	13	22	12	4	3	2	2	1	0.96	0.04	0
302206098	64	56	2	0	0	4.777194	39	37	22	28	20	13	14	12	9	4	1	2	2	0.95	0.04	0
305304324	64	56	2	1	1	3.67003	38	41	13	26	30	13	12	3	1	1	3	2	1	0.88	0.04	0
306772701	64	55	4	0	0	4.849635	22	35	13	22	15	11	22	2	3	2	2	2	1	0.82	0.04	0
311564998	64	60	2	1	0	3.190692	38	29	15	27	13	13	20	2	2	6	2	1	1	1.23	0.04	0.64
311757658	64	42	3	1	1	3.949697	25	33	26	11	32	14	12	1	8	4	2	1	2	0.76	0.15	0
317621387	64	48	3	0	0	4.05503	28	23	19	14	15	12	18	5	8	2	1	1	2	0.71	0.14	0
319356131	64	60	8	1	0	3.710547	26	34	28	18	23	12	22	5	9	1	1	1	1	0.97	0.04	0
322298720	64	52	6	1	0	4.855248	37	38	17	24	15	14	22	2	2	1	1	2	1	1.75	0.08	0
324376718	64	60	3	1	0	4.94143	25	33	19	17	33	14	12	2	1	2	1	2	1	0.85	0.03	0
330541834	64	53	4	1	0	2.71406	41	39	15	33	23	14	20	1	1	5	3	2	2	0.87	0.04	0
331798323	64	60	3	0	0	4.65069	26	25	20	13	17	13	22	12	4	2	1	2	1	0.98	0.04	0
334342917	64	47	4	0	0	3.152194	51	35	6	24	20	14	12	9	2	4	5	12	1	0.82	0.04	0
337038223	64	60	3	1	0	4.565974	35	26	15	30	21	13	20	10	1	2	1	1	1	0.88	0.04	0
337895178	64	53	2	1	0	4.656605	24	31	28	21	27	13	22	2	9	4	1	1	1	0.75	0.14	0
338546125	64	54	16	0	0	2.700445	27	32	20	25	26	12	14	8	1	2	3	1	1	0.75	0.15	0
344216141	64	55	3	0	0	4.335706	37	40	24	27	17	13	22	12	16	1	1	2	2	0.75	0.15	0
345441756	64	60	4	1	0	2.758176	37	40	16	30	26	11	18	1	3	9	1	2	1	0.95	0.04	0
349256101	64	56	6	1	0	4.747508	41	38	26	20	25	14	18	3	1	3	2	1	1	0.96	0.04	0
352893240	64	56	3	1	0	4.403111	40	40	14	34	23	11	14	8	3	6	1	2	1	0.81	0.04	0
356988348	64	54	5	0	1	4.665782	43	37	20	29	18	15	22	1	9	2	2	5	1	0.88	0.04	0
360037908	64	53	7	0	0	3.964037	36	49	13	24	28	15	12	1	2	1	1	1	1	0.92	0.04	0
360131114	64	45	7	0	0	4.700334	36	40	9	33	24	13	12	4	1	3	2	2	3	0.91	0.04	0
360348327	64	58	4	0	0	4.448247	39	48	21	26	16	12	18	7	2	1	2	1	1	0.96	0.04	0
365039978	64	55	5	0	0	2.630664	44	40	24	27	23	15	22	6	4	1	2	1	1	0.85	0.04	0
365739430	64	56	3	1	0	4.016587	43	39	22	24	15	12	18	4	12	7	1	3	1	0.82	0.04	0
374123750	64	58	7	0	0	4.973979	38	33	6	22	20	12	12	7	5	1	1	1	2	1.1	0.14	0.61
374546100	64	60	5	1	0	4.884171	23	43	14	23	24	12	12	1	3	2	1	4	1	0.88	0.04	0
375473415	64	60	8	1	0	3.982232	47	29	6	24	10	8	10	3	1	4	1	13	12	0.93	0.04	0
380773728	64	57	5	0	0	2.273844	37	40	16	30	26	11	18	1	6	1	1	2	1	0.71	0.13	0
383354133	64	60	6	1	0	2.708795	37	42	7	32	30	13	12	5	3	1	2	1	1	0.72	0.15	0
383804712	64	37	9	1	0	3.689069	29	37	20	25	23	12	22	7	4	1	1	1	1	0.8	0.15	0
384166985	64	48	2	1	0	4.528171	40	37	17	34	17	14	20	3	8	8	2	1	1	0.93	0.04	0
386217284	64	60	5	0	0	3.421432	36	40	9	33	24	13	12	6	2	4	1	5	1	0.83	0.15	0
389602543	64	60	3	1	0	4.134864	34	41	15	22	37	14	12	1	4	3	1	2	2	0.8	0.15	0
391541768	64	51	3	1	0	4.665935	36	40	16	27	23	13	12	9	5	2	1	1	1	0.91	0.04	0
391612747	64	60	6	0	0	4.157886	39	38	23	29	16	11	14	4	3	8	1	1	1	0.97	0.04	0
392773742	64	51	5	1	0	4.206138	37	42	7	32	30	13	12	4	1	2	2	4	1	0.85	0.16	0
401518946	64	56	9	1	0	3.395791	48	44	13	26	15	14	22	4	7	2	3	12	1	0.75	0.15	0
402424910	64	60	7	1	0	4.913868	38	29	15	27	13	13	20	1	1	1	1	1	1	0.85	0.04	0
405452963	64	57	4	1	0	4.110053	40	41	8	29	24	13	12	5	5	2	1	1	2	0.83	0.16	0
408962593	64	60	5	1	0	4.142521	27	34	15	21	23	12	12	5	8	3	1	4	1	0.93	0.03	0
412201803	64	56	2	1	0	3.957329	39	41	21	26	24	13	22	5	3	4	1	1	1	0.95	0.03	0
415746244	64	59	4	1	0	4.917088	26	24	18	18	18	10	18	5	1	2	2	2	2	0.95	0.04	0
417571757	64	46	6	0	0	4.917941	38	41	20	20	29	13	12	9	5	1	2	3	1	0.81	0.14	0
424539700	64	58	4	1	0	3.514917	39	41	28	20	23	13	22	6	3	6	4	1	1	0.82	0.13	0
428949905	64	60	8	1	0	4.207686	43	36	26	22	21	17	22	4	3	2	1	1	1	0.87	0.04	0
438711797	64	60	4	1	0	3.464672	40	37	24	28	16	14	20	1	1	3	1	2	1	0.72	0.15	0
439404941	64	59	5	0	0	2.839128	46	32	16	33	14	12	18	7	3	3	1	1	2	0.81	0.14	0
442412912	64	59	6	1	0	3.875148	40	37	24	28	16	14	20	7	2	4	2	3	1	0.73	0.14	0
442588678	64	56	13	0	0	3.906157	42	36	17	28	26	12	22	3	3	1	2	1	1	0.83	0.14	0
444896468	64	60	3	1	0	3.893821	39	43	8	34	23	13	12	3	1	2	1	1	1	0.89	0.04	0
446325641	64	50	9	0	0	4.650874	46	30	21	32	16	15	22	6	1	4	3	1	1	0.96	0.04	0
447255898	64	60	5	0	0	4.446952	40	40	14	22	27	15	12	8	12	1	1	5	1	0.73	0.16	0
450375764	64	55	4	0	0	4.420783	38	33	6	22	20	12	12	9	5	3	1	2	2	1.78	0.2	0
450549047	64	47	8	0	0	3.18476	30	30	27	21	17	14	22	12	2	1	3	5	1	0.85	0.04	0
451705965	64	55	5	0	0	4.934822	41	41	16	29	18	13	22	1	3	2	1	2	2	0.83	0.04	0
452394420	64	57	8	0	0	4.741099	52	33	18	22	18	13	18	6	1	2	3	12	1	0.85	0.04	0
453100831	64	52	2	0	0	4.22274	39	45	25	24	22	17	22	1	6	2	2	2	1	0.81	0.04	0
454174361	64	58	5	1	0	4.367176	25	35	15	30	24	12	22	10	3	2	1	2	1	0.88	0.04	0
454398092	64	60	4	0	1	3.892814	44	42	19	28	21	12	18	2	1	1	2	2	1	0.82	0.03	0
456535560	64	52	6	0	0	4.799348	39	36	21	33	18	15	22	7	8	5	2	1	1	0.95	0.03	0
456551961	64	60	2	0	0	2.035885	31	32	18	26	24	14	22	2	12	3	1	1	1	0.75	0.15	0
456913345	64	54	8	1	0	3.231014	40	37	17	34	17	14	20	2	5	7	2	1	1	0.89	0.04	0
457891337	64	60	2	0	0	4.504549	39	35	27	26	21	17	22	3	2	3	2	1	1	0.82	0.16	0
459600082	64	59	3	1	0	3.825876	40	36	23	27	20	16	20	3	1	3	1	1	1	0.71	0.15	0
461735751	64	59	2	0	0	4.366753	38	33	6	22	20	12	12	1	2	1	1	1	3	1.58	0.18	0
464092757	64	51	2	1	1	3.567403	40	41	8	29	24	13	12	1	3	5	1	1	1	0.76	0.15	0
474236824	64	60	3	1	0	4.629444	40	41	8	29	24	13	12	5	13	2	3	3	1	0.91	0.04	0
476301296	64	58	6	1	0	4.00841	47	31	17	33	15	14	20	2	4	1	1	3	1	0.84	0.16	0
477027871	64	60	3	0	0	4.904109	41	41	16	29	18	13	22	5	4	4	2	3	1	0.98	0.04	0
477946778	64	53	10	1	0	3.591814	27	30	24	26	16	13	20	3	1	1	2	2	1	0.8	0.04	0
480173816	64	42	3	0	0	2.057039	27	36	19	23	30	12	22	5	2	1	1	3	1	0.85	0.03	0
482545549	64	53	5	1	0	2.723937	43	37	20	29	18	15	22	2	8	2	1	3	1	0.89	0.03	0
484233987	64	57	4	0	0	4.184521	40	43	19	25	30	13	22	1	1	1	1	2	1	0.78	0.14	0
487569051	64	42	6	0	0	4.489042	39	38	23	28	15	12	18	5	1	9	1	1	1	0.82	0.03	0
490518962	64	52	8	1	0	4.494061	39	45	25	24	22	17	22	5	4	1	1	1	2	0.84	0.04	0
491377503	64	59	8	1	0	4.294609	40	40	14	34	23	11	14	1	3	2	3	1	1	0.81	0.15	0
494357419	64	50	4	1	0	4.027903	43	36	26	22	21	17	22	12	6	2	1	5	1	0.88	0.04	0
494688585	64	57	7	1	0	4.574344	41	39	20	27	22	12	18	4	5	3	1	1	1	0.85	0.04	0
495934751	64	60	5	1	0	4.348666	34	42	9	29	34	12	12	1	1	1	1	1	1	0.82	0.04	0
502561977	64	60	5	0	0	4.963254	40	40	14	33	22	12	18	2	1	1	3	1	1	0.82	0.14	0
507344104	64	60	2	0	0	4.785022	41	31	13	23	12	11	18	3	4	1	1	3	2	0.8	0.14	0
512076334	64	59	4	0	0	4.762293	37	50	15	31	19	13	22	2	7	3	1	1	1	0.77	0.16	0
513443780	64	60	14	0	0	4.123298	31	34	13	27	22	11	18	2	8	4	1	2	1	0.95	0.04	0
516656942	64	60	10	1	1	4.217306	34	42	9	29	34	12	12	3	4	4	1	2	1	0.88	0.04	0
519441926	64	60	4	1	0	4.901928	30	33	23	27	15	13	20	5	3	1	1	3	2	0.84	0.04	0
523695976	64	41	5	1	0	4.827781	37	30	14	28	13	10	14	4	1	3	2	1	1	0.86	0.14	0
527120973	64	56	12	1	0	4.939692	36	50	7	31	25	13	12	2	4	1	2	1	1	0.9	0.04	0
530384590	64	53	5	1	0	4.97775	37	30	14	28	13	10	14	3	4	1	2	1	2	1.77	0.2	0
532218596	64	59	6	1	0	4.471855	24	26	19	17	20	11	22	1	1	5	1	1	1	1.18	0.04	0.64
535417332	64	60	9	1	0	3.730636	48	31	25	25	22	15	22	3	1	1	1	2	1	0.83	0.04	0
536125191	64	60	3	1	0	4.771327	33	35	14	29	15	11	18	6	5	1	1	1	1	0.98	0.04	0
536928048	64	60	2	1	0	4.377609	39	35	27	26	21	17	22	7	1	5	2	2	2	0.91	0.04	0
538190348	64	56	3	0	0	3.078727	43	39	22	24	15	12	18	10	15	1	1	1	2	0.75	0.14	0
538214300	64	60	5	1	0	4.871258	46	42	14	31	15	12	18	11	13	5	1	5	1	0.89	0.04	0
541223169	64	60	6	1	0	3.993078	40	40	14	22	27	15	12	2	2	1	1	2	1	0.83	0.15	0
541533556	64	60	8	1	0	3.751484	46	32	16	33	14	12	18	9	3	2	2	1	1	0.9	0.04	0
542126967	64	60	4	0	0	4.851124	37	28	19	26	14	14	22	8	1	2	2	4	1	0.83	0.15	0
542279486	64	60	4	0	0	4.754509	43	36	26	22	21	17	22	6	2	1	1	2	1	0.98	0.04	0
542566288	64	55	2	0	0	3.357317	39	45	25	24	22	17	22	2	3	4	1	2	1	0.91	0.04	0
547196328	64	49	2	0	0	3.532997	37	40	12	25	13	11	18	1	2	2	2	1	1	0.78	0.16	0
547333117	64	46	3	0	0	2.604181	41	36	31	19	27	17	22	1	2	2	2	1	1	0.83	0.14	0
549004340	64	45	4	1	0	4.91736	41	41	16	29	18	13	22	6	2	2	2	2	1	0.91	0.03	0
550818134	64	60	7	0	0	4.960505	40	37	24	28	16	14	20	6	2	3	1	1	1	0.91	0.04	0
555825011	64	55	2	0	0	4.27316	36	49	13	24	28	15	12	3	1	1	2	4	1	0.93	0.04	0
557391230	64	53	2	0	0	4.219413	35	44	7	28	40	12	12	3	1	1	1	1	1	0.82	0.04	0
558567035	64	60	2	1	0	4.990173	24	30	23	15	18	15	22	3	3	3	1	1	1	0.9	0.04	0
561749849	64	60	5	1	0	3.87269	21	34	11	15	24	13	12	1	1	1	1	1	1	1.65	0.17	0
563676425	64	60	4	0	0	4.117187	39	38	23	29	16	11	14	12	1	2	1	1	3	0.78	0.14	0
564346210	64	54	2	1	0	4.107136	41	29	18	22	14	14	22	8	8	2	2	1	1	0.92	0.04	0
565549024	64	52	7	0	0	4.337862	27	29	23	25	20	15	20	10	2	7	1	2	1	0.82	0.04	0
567103197	64	39	8	1	0	2.866189	40	48	17	30	25	15	22	4	2	3	2	1	1	0.77	0.14	0
572821108	64	60	2	0	0	4.352074	39	41	21	26	24	13	22	1	1	4	2	1	1	0.89	0.03	0
574882910	64	60	2	0	0	3.974682	38	29	15	27	13	13	20	3	4	1	2	1	1	0.73	0.14	0
578536726	64	46	3	1	0	3.839777	39	47	20	25	20	14	18	5	4	1	1	3	1	0.82	0.04	0
579282299	64	46	3	0	0	4.396778	39	46	19	31	19	15	22	1	1	2	2	1	1	0.94	0.04	0
583571468	64	55	4	1	0	2.265701	46	40	19	30	17	15	22	12	2	3	1	2	1	0.86	0.03	0
584428194	64	54	4	1	0	3.453052	43	39	15	30	16	12	18	7	7	3	1	1	1	0.8	0.15	0
586193031	64	60	6	1	0	3.567184	39	46	26	25	18	15	22	3	7	1	1	2	2	0.83	0.04	0
587252458	64	48	5	0	0	4.966822	39	38	23	28	15	12	18	7	3	3	1	1	2	0.85	0.15	0
591967558	64	58	4	0	0	2.969744	39	46	19	31	19	15	22	1	10	4	1	2	3	0.71	0.13	0
593546753	64	57	7	1	0	4.455729	46	40	19	30	17	15	22	3	2	2	1	3	1	0.85	0.04	0
595658081	64	60	2	0	0	4.117539	34	42	16	23	33	12	12	1	2	2	1	6	2	0.85	0.16	0
598533279	64	54	6	0	0	4.625356	37	38	17	24	15	14	22	2	4	1	1	1	1	1.02	0.14	0.65
598624452	64	60	5	1	0	4.632003	39	29	23	19	20	14	22	1	1	4	1	1	1	0.83	0.04	0
599079953	64	43	17	1	0	4.523644	32	34	7	22	30	11	12	5	3	2	1	1	1	0.73	0.16	0
601398024	64	45	8	1	0	3.540199	41	29	18	22	14	14	22	5	6	1	1	2	1	1.21	0.03	0.69
606109313	64	46	7	1	0	4.875867	39	48	21	26	16	12	18	4	4	2	1	1	1	0.84	0.04	0
